"cell_id","sample_id","condition","truth_cell_type","truth_qc_class","doublet_source_1","doublet_source_2"
"BC0001-1","S1","control","CD4 T","high_quality",,
"BC0002-1","S3","stimulated","CD4 T","high_quality",,
"BC0003-1","S4","stimulated","CD4 T","high_quality",,
"BC0004-1","S1","control","CD8 T","low_quality",,
"BC0005-1","S1","control","B","high_quality",,
"BC0006-1","S4","stimulated","B","stressed",,
"BC0007-1","S3","stimulated","CD8 T","high_quality",,
"BC0008-1","S3","stimulated","CD4 T","high_quality",,
"BC0009-1","S1","control","CD8 T","stressed",,
"BC0010-1","S4","stimulated","Monocyte","high_quality",,
"BC0011-1","S2","control","CD8 T","stressed",,
"BC0012-1","S3","stimulated","CD8 T","high_quality",,
"BC0013-1","S2","control","NK","high_quality",,
"BC0014-1","S3","stimulated","B","low_quality",,
"BC0015-1","S3","stimulated","CD4 T","high_quality",,
"BC0016-1","S3","stimulated","NK","high_quality",,
"BC0017-1","S3","stimulated","Monocyte","high_quality",,
"BC0018-1","S4","stimulated","B","high_quality",,
"BC0019-1","S1","control","CD8 T","high_quality",,
"BC0020-1","S4","stimulated","B","high_quality",,
"BC0021-1","S2","control","CD8 T","high_quality",,
"BC0022-1","S4","stimulated","NK","high_quality",,
"BC0023-1","S4","stimulated","NK","high_quality",,
"BC0024-1","S1","control","CD4 T","high_quality",,
"BC0025-1","S1","control","B","high_quality",,
"BC0026-1","S3","stimulated","Monocyte","high_quality",,
"BC0027-1","S3","stimulated","Monocyte","high_quality",,
"BC0028-1","S3","stimulated","Monocyte","high_quality",,
"BC0029-1","S3","stimulated","CD8 T","high_quality",,
"BC0030-1","S3","stimulated","B","high_quality",,
"BC0031-1","S4","stimulated","NK","ambient_high",,
"BC0032-1","S1","control","CD4 T","high_quality",,
"BC0033-1","S4","stimulated","CD4 T","high_quality",,
"BC0034-1","S4","stimulated","CD8 T","high_quality",,
"BC0035-1","S2","control","Monocyte","high_quality",,
"BC0036-1","S4","stimulated","Monocyte","stressed",,
"BC0037-1","S2","control","CD8 T","high_quality",,
"BC0038-1","S3","stimulated","NK","high_quality",,
"BC0039-1","S4","stimulated","Monocyte","high_quality",,
"BC0040-1","S3","stimulated","NK","high_quality",,
"BC0041-1","S2","control","CD4 T","stressed",,
"BC0042-1","S3","stimulated","CD4 T","high_quality",,
"BC0043-1","S4","stimulated","B","low_quality",,
"BC0044-1","S1","control","CD4 T","low_quality",,
"BC0045-1","S2","control","B","ambient_high",,
"BC0046-1","S4","stimulated","CD4 T","high_quality",,
"BC0047-1","S3","stimulated","CD4 T","high_quality",,
"BC0048-1","S2","control","NK","high_quality",,
"BC0049-1","S4","stimulated","CD8 T","high_quality",,
"BC0050-1","S4","stimulated","NK","ambient_high",,
"BC0051-1","S4","stimulated","NK","high_quality",,
"BC0052-1","S2","control","CD8 T","high_quality",,
"BC0053-1","S2","control","CD4 T","high_quality",,
"BC0054-1","S2","control","CD8 T","ambient_high",,
"BC0055-1","S3","stimulated","CD8 T","high_quality",,
"BC0056-1","S4","stimulated","CD4 T","high_quality",,
"BC0057-1","S4","stimulated","CD8 T","high_quality",,
"BC0058-1","S1","control","CD8 T","high_quality",,
"BC0059-1","S1","control","Monocyte","low_quality",,
"BC0060-1","S1","control","B","high_quality",,
"BC0061-1","S1","control","Monocyte","high_quality",,
"BC0062-1","S4","stimulated","B","high_quality",,
"BC0063-1","S4","stimulated","CD4 T","high_quality",,
"BC0064-1","S2","control","CD4 T","high_quality",,
"BC0065-1","S2","control","NK","high_quality",,
"BC0066-1","S2","control","B","high_quality",,
"BC0067-1","S1","control","CD8 T","high_quality",,
"BC0068-1","S1","control","CD4 T","low_quality",,
"BC0069-1","S4","stimulated","B","high_quality",,
"BC0070-1","S2","control","Monocyte","high_quality",,
"BC0071-1","S3","stimulated","B","high_quality",,
"BC0072-1","S2","control","B","high_quality",,
"BC0073-1","S3","stimulated","CD8 T","high_quality",,
"BC0074-1","S4","stimulated","CD4 T","high_quality",,
"BC0075-1","S2","control","NK","high_quality",,
"BC0076-1","S3","stimulated","CD8 T","high_quality",,
"BC0077-1","S1","control","CD8 T","high_quality",,
"BC0078-1","S4","stimulated","B","high_quality",,
"BC0079-1","S1","control","CD8 T","stressed",,
"BC0080-1","S1","control","CD4 T","high_quality",,
"BC0081-1","S1","control","NK","high_quality",,
"BC0082-1","S1","control","CD4 T","high_quality",,
"BC0083-1","S1","control","CD4 T","high_quality",,
"BC0084-1","S1","control","CD8 T","high_quality",,
"BC0085-1","S2","control","B","high_quality",,
"BC0086-1","S1","control","NK","high_quality",,
"BC0087-1","S4","stimulated","NK","high_quality",,
"BC0088-1","S1","control","NK","high_quality",,
"BC0089-1","S3","stimulated","B","ambient_high",,
"BC0090-1","S1","control","NK","stressed",,
"BC0091-1","S1","control","CD4 T","stressed",,
"BC0092-1","S3","stimulated","CD8 T","low_quality",,
"BC0093-1","S3","stimulated","Monocyte","high_quality",,
"BC0094-1","S2","control","Monocyte","high_quality",,
"BC0095-1","S1","control","CD8 T","high_quality",,
"BC0096-1","S2","control","B","high_quality",,
"BC0097-1","S3","stimulated","CD8 T","high_quality",,
"BC0098-1","S3","stimulated","B","high_quality",,
"BC0099-1","S3","stimulated","CD4 T","stressed",,
"BC0100-1","S3","stimulated","Monocyte","high_quality",,
"BC0101-1","S4","stimulated","Monocyte","ambient_high",,
"BC0102-1","S3","stimulated","CD4 T","high_quality",,
"BC0103-1","S2","control","Monocyte","high_quality",,
"BC0104-1","S3","stimulated","B","high_quality",,
"BC0105-1","S4","stimulated","CD8 T","stressed",,
"BC0106-1","S4","stimulated","CD8 T","high_quality",,
"BC0107-1","S2","control","CD4 T","high_quality",,
"BC0108-1","S2","control","Monocyte","high_quality",,
"BC0109-1","S2","control","NK","high_quality",,
"BC0110-1","S4","stimulated","CD4 T","high_quality",,
"BC0111-1","S4","stimulated","CD8 T","stressed",,
"BC0112-1","S2","control","CD8 T","high_quality",,
"BC0113-1","S4","stimulated","CD4 T","high_quality",,
"BC0114-1","S2","control","NK","high_quality",,
"BC0115-1","S3","stimulated","CD4 T","ambient_high",,
"BC0116-1","S2","control","CD4 T","high_quality",,
"BC0117-1","S2","control","NK","high_quality",,
"BC0118-1","S4","stimulated","Monocyte","high_quality",,
"BC0119-1","S4","stimulated","Monocyte","high_quality",,
"BC0120-1","S3","stimulated","NK","low_quality",,
"BC0121-1","S3","stimulated","NK","high_quality",,
"BC0122-1","S4","stimulated","CD8 T","high_quality",,
"BC0123-1","S3","stimulated","NK","high_quality",,
"BC0124-1","S2","control","CD8 T","high_quality",,
"BC0125-1","S4","stimulated","B","high_quality",,
"BC0126-1","S4","stimulated","Monocyte","high_quality",,
"BC0127-1","S3","stimulated","CD8 T","ambient_high",,
"BC0128-1","S4","stimulated","NK","ambient_high",,
"BC0129-1","S2","control","CD8 T","high_quality",,
"BC0130-1","S3","stimulated","CD8 T","high_quality",,
"BC0131-1","S3","stimulated","CD8 T","high_quality",,
"BC0132-1","S1","control","Monocyte","low_quality",,
"BC0133-1","S3","stimulated","CD8 T","high_quality",,
"BC0134-1","S2","control","Monocyte","high_quality",,
"BC0135-1","S2","control","CD4 T","high_quality",,
"BC0136-1","S1","control","CD8 T","high_quality",,
"BC0137-1","S4","stimulated","B","high_quality",,
"BC0138-1","S4","stimulated","B","high_quality",,
"BC0139-1","S3","stimulated","Monocyte","high_quality",,
"BC0140-1","S2","control","Monocyte","stressed",,
"BC0141-1","S1","control","B","high_quality",,
"BC0142-1","S1","control","B","high_quality",,
"BC0143-1","S3","stimulated","B","high_quality",,
"BC0144-1","S1","control","CD4 T","high_quality",,
"BC0145-1","S4","stimulated","NK","high_quality",,
"BC0146-1","S3","stimulated","CD4 T","high_quality",,
"BC0147-1","S3","stimulated","B","high_quality",,
"BC0148-1","S4","stimulated","B","high_quality",,
"BC0149-1","S4","stimulated","NK","high_quality",,
