"cell_id","sample_id","donor_id","condition","truth_cell_type","truth_t_state","cell_cycle_phase","cell_cycle_score","ifn_score","stress_score","mitochondrial_technical_score"
"RC0001-1","D3_stimulated","D3","stimulated","CD8 T","cytotoxic","G1",0,0.216231,0.305176,0.587751
"RC0002-1","D2_stimulated","D2","stimulated","CD8 T","naive-like","S",1.67041,0.51889,0,0.850824
"RC0003-1","D1_stimulated","D1","stimulated","B","not_T","G2M",1.540657,0.929208,0.200268,1.032219
"RC0004-1","D1_control","D1","control","NK","not_T","S",1.090558,-0.308415,0,0.061242
"RC0005-1","D1_stimulated","D1","stimulated","NK","not_T","G1",0.390146,0.841589,0,0.424963
"RC0006-1","D1_control","D1","control","Monocyte","not_T","G2M",1.410898,0.237957,0.35041,0
"RC0007-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0.512011,0.600749,0.347866,0.392433
"RC0008-1","D1_control","D1","control","B","not_T","G1",0.36931,-1.045826,0.543209,0
"RC0009-1","D1_control","D1","control","CD8 T","naive-like","G1",0,-0.284807,0.374457,0.521912
"RC0010-1","D1_control","D1","control","CD8 T","naive-like","G1",0,0.173944,0.032284,0.153541
"RC0011-1","D3_control","D3","control","NK","not_T","G1",0.118657,-0.637604,0.233154,1.138626
"RC0012-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G2M",1.639692,1.319113,1.211556,0.489839
"RC0013-1","D2_control","D2","control","B","not_T","G1",0.178626,-0.589455,0.462464,1.041874
"RC0014-1","D3_stimulated","D3","stimulated","CD4 T","memory-like","G1",0.218474,0.939045,0,0
"RC0015-1","D1_control","D1","control","CD4 T","memory-like","G1",0,0.11387,0,0.257191
"RC0016-1","D3_control","D3","control","CD8 T","cytotoxic","G2M",2.105295,-0.978972,0.663684,0.268173
"RC0017-1","D1_control","D1","control","CD4 T","memory-like","G1",0,0.20781,0.390863,0
"RC0018-1","D2_stimulated","D2","stimulated","B","not_T","G1",0.448676,0.626308,0.193089,0.632307
"RC0019-1","D2_stimulated","D2","stimulated","B","not_T","G1",0,1.897845,0.293782,0
"RC0020-1","D2_control","D2","control","CD8 T","cytotoxic","G1",0.752225,-0.947193,0.325136,0.235783
